townkey1849;city;Cityname;population;kreiskey1849;district;region;Gründung;Jahr;Gesamt;Turnfreunde;Turner_1420;Turner_20;Turner;Beruf_Handwerk;Beruf_Gelehrte;Beruf_Kaufleute;Check_Gesamt;Check_Beruf;Check_Alter
;Franzburg;Franzburg;1520;;Stralsund;12;18.09.1861;1861;42;28;5;9;14;13;14;15;0;0;0
;Garz auf Rügen;Garz auf Ruegen;2123;;Stralsund;12;11.07.1863;1863;45;25;2;18;20;35;6;4;0;0;0
;Greifswald;Greifswald;15714;;Stralsund;12;19.06.1860;1860;320;255;6;59;65;118;86;116;0;0;0
;Grimmen;Grimmen;3098;;Stralsund;12;05.11.1860;1860;88;49;3;36;39;45;11;32;0;0;0
;Loitz;Loitz;3792;;Stralsund;12;09.02.1862;1862;64;43;4;17;21;51;5;8;0;0;0
;Putbus auf Rügen;Putbus auf Ruegen;1500;;Stralsund;12;1863;1863;40;25;11;4;15;36;2;2;0;0;0
;Sagard;Sagard;1100;;Stralsund;12;17.06.1862;1862;63;43;2;18;20;47;5;11;0;0;0
;Stralsund;Stralsund;24063;;Stralsund;12;17.08.1860;1860;179;80;60;39;99;81;25;73;0;0;0
;Triebsees;Triebsees;3631;;Stralsund;12;11.08.1862;1862;87;63;7;17;24;61;7;19;0;0;0
;Wolgast;Wolgast;6412;;Stralsund;12;07.09.1861;1861;110;84;11;15;26;39;10;61;0;0;0
;Berlin;Berlin;524945;;Berlin;13;16.05.1863;1863;278;0;168;110;278;152;84;42;0;0;0
;Berlin;Berlin;524945;;Berlin;13;16.05.1863;1863;101;0;61;40;101;79;12;10;0;0;0
;Berlin;Berlin;524945;;Berlin;13;28.05.1858;1858;50;0;21;29;50;23;13;14;0;0;0
;Berlin;Berlin;524945;;Berlin;13;01.10.1860;1860;103;7;36;60;96;6;25;72;0;0;0
;Berlin;Berlin;524945;;Berlin;13;20.09.1861;1861;44;0;0;44;44;32;8;4;0;0;0
;Berlin;Berlin;524945;;Berlin;13;15.07.1861;1861;39;0;9;30;39;4;31;4;0;0;0
;Berlin;Berlin;524945;;Berlin;13;21.09.1861;1861;66;0;0;66;66;0;66;0;0;0;0
;Berlin;Berlin;524945;;Berlin;13;16.05.1863;1863;416;0;0;0;0;0;0;0;416;416;0
;Berlin;Berlin;524945;;Berlin;13;16.05.1863;1863;158;0;158;0;158;127;21;10;0;0;0
;Berlin;Berlin;524945;;Berlin;13;18.10.1859;1859;94;0;0;0;0;0;0;0;94;94;0
